split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,I-Finding,B-Disease,E-Disease,E-Symptom,S-Disease,S-Symptom,E-Drug,B-Symptom,B-Drug,S-Finding,I-Symptom,I-Drug,I-Disease,accuracy,macro avg,weighted avg
train,precision,0.046753822291158875,0.036996012405848475,0.03745567375886525,0.01795212765957447,0.010418975836843272,0.002215330084182543,0.001993797075764289,0.0011076650420912715,0.001993797075764289,0.002658985153999557,0.001329198050509526,0.0011076650420912715,0.0011081560283687944,0.000664599025254763,0.0008863283846665189,0.0011076650420912715,0.0011076650420912715,0.0008861320336730173,0.00022153300841825432,0.0004432624113475177,0.04751052448327161,0.04751381792401426,0.6971160037888469
train,recall,0.04742638795234884,0.04763262977752424,0.05046282472379815,0.05942773294203962,0.03654743390357698,0.05,0.045,0.03355704697986577,0.07563025210084033,0.10084033613445378,0.05263157894736842,0.044642857142857144,0.044642857142857144,0.02702702702702703,0.03636363636363636,0.045454545454545456,0.045871559633027525,0.038461538461538464,0.02,0.04,0.04751052448327161,0.04709361098968633,0.04751052448327161
train,f1-score,0.04708770363758089,0.04164588528678304,0.04299707416359242,0.02757446808510638,0.01621528376746593,0.004242681374628765,0.0038184132371658886,0.0021445421402530563,0.0038851715950787825,0.0051813471502590676,0.002592912705272256,0.00216169476869866,0.0021626297577854673,0.0012972972972972974,0.0017304780445598095,0.002162629757785467,0.0021630975556997624,0.0017323516673884796,0.00043821209465381246,0.0008768084173608066,0.04751052448327161,0.014366108672452551,0.08065624810816882
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,149.0,119.0,119.0,114.0,112.0,112.0,111.0,110.0,110.0,109.0,104.0,50.0,50.0,0.04751052448327161,94779.0,94779.0
dev,precision,0.041050903119868636,0.042692939244663386,0.03782894736842105,0.014802631578947368,0.011494252873563218,0.0016420361247947454,0.001644736842105263,0.001644736842105263,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0032948929159802307,0.0016420361247947454,0.0016501650165016502,0.003289473684210526,0.003289473684210526,0.0,0.0,0.04790606653620352,0.04799080738666288,0.7092148298499507
dev,recall,0.048355899419729204,0.05790645879732739,0.05203619909502263,0.0430622009569378,0.042682926829268296,0.02564102564102564,0.029411764705882353,0.05,0.0,0.0,0.0,0.0,0.07692307692307693,0.1,0.08333333333333333,0.05,0.08,0.08695652173913043,0.0,0.0,0.04790606653620352,0.041615852461804805,0.04790606653620352
dev,f1-score,0.04440497335701599,0.04914933837429112,0.043809523809523805,0.022031823745410038,0.018111254851228976,0.0030864197530864196,0.003115264797507788,0.003184713375796178,0.0,0.0,0.0,0.0,0.0032154340836012857,0.006379585326953748,0.0032206119162640897,0.003194888178913738,0.00631911532385466,0.006339144215530904,0.0,0.0,0.04790606653620352,0.014557140429014136,0.08126153817531094
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,15.0,15.0,13.0,16.0,13.0,20.0,12.0,20.0,25.0,23.0,7.0,13.0,0.04790606653620352,12775.0,12775.0
test,precision,0.037300177619893425,0.026595744680851064,0.03900709219858156,0.014184397163120567,0.015985790408525755,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.0,0.005319148936170213,0.008865248226950355,0.0,0.0017761989342806395,0.0,0.04714430550861778,0.047117110956346055,0.6963445301313553
test,recall,0.04,0.033936651583710405,0.05263157894736842,0.05063291139240506,0.046875,0.125,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.1111111111111111,0.17857142857142858,0.0,0.04,0.0,0.04714430550861778,0.04252638417521982,0.04714430550861778
test,f1-score,0.03860294117647059,0.029821073558648107,0.04480651731160896,0.0221606648199446,0.023841059602649005,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.010152284263959392,0.016891891891891893,0.0,0.003401360544217687,0.0,0.04714430550861778,0.01413920628673511,0.08014541112717412
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,9.0,8.0,9.0,13.0,12.0,9.0,27.0,13.0,27.0,28.0,20.0,25.0,3.0,0.04714430550861778,11836.0,11836.0
