split,index,I-ADR,B-ADR,B-Drug,I-Finding,B-Finding,B-Disease,B-Symptom,I-Symptom,I-Disease,I-Drug,accuracy,macro avg,weighted avg
train,precision,0.08391276364518818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08391276364518818,0.007628433058653471,0.007041351902573215
train,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08391276364518818,0.09090909090909091,0.08391276364518818
train,f1-score,0.15483305752944612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08391276364518818,0.01407573250267692,0.012992469760930237
train,support,7953.0,4712.0,1396.0,349.0,309.0,231.0,222.0,218.0,169.0,161.0,0.08391276364518818,94777.0,94777.0
dev,precision,0.07561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07561643835616438,0.006874221668742217,0.005717845749671608
dev,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07561643835616438,0.09090909090909091,0.07561643835616438
dev,f1-score,0.14060112073357106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07561643835616438,0.012781920066688279,0.010631755978757701
dev,support,966.0,651.0,184.0,54.0,64.0,31.0,25.0,36.0,28.0,27.0,0.07561643835616438,12775.0,12775.0
test,precision,0.08169989861439676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08169989861439676,0.007427263510399706,0.006674873433602709
test,recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08169989861439676,0.09090909090909091,0.08169989861439676
test,f1-score,0.1510583457002265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08169989861439676,0.013732576881838772,0.012341451528566999
test,support,967.0,576.0,219.0,36.0,52.0,20.0,22.0,33.0,12.0,52.0,0.08169989861439676,11836.0,11836.0
