split,index,I-ADR,B-ADR,B-Drug,I-Finding,B-Finding,B-Disease,B-Symptom,I-Symptom,I-Disease,I-Drug,accuracy,macro avg,weighted avg
train,precision,0.09121504003713589,0.050365556458164096,0.012070566388115135,0.003714020427112349,0.003829639085528606,0.002437325905292479,0.002088894046651967,0.001857225769007545,0.0019730733519034353,0.0017413512885999535,0.09153064562077297,0.09153011142904025,0.7073372338967889
train,recall,0.0988306299509619,0.09210526315789473,0.07449856733524356,0.09169054441260745,0.10679611650485436,0.09090909090909091,0.08108108108108109,0.07339449541284404,0.10059171597633136,0.09316770186335403,0.09153064562077297,0.09037509879352096,0.09153064562077297
train,f1-score,0.0948702474351237,0.06512116437842298,0.020775069916100678,0.007138873396542109,0.007394129509298678,0.004747371990505256,0.004072858920692386,0.0036227782180459646,0.003870233352305065,0.003418803418803419,0.09153064562077297,0.03447776435439201,0.1485821919614775
train,support,7953.0,4712.0,1396.0,349.0,309.0,231.0,222.0,218.0,169.0,161.0,0.09153064562077297,94777.0,94777.0
dev,precision,0.076592082616179,0.0378657487091222,0.015517241379310345,0.002583979328165375,0.00946643717728055,0.0034482758620689655,0.0017211703958691911,0.0017211703958691911,0.002586206896551724,0.0034423407917383822,0.09033268101761252,0.09028678512185918,0.7106854844707586
dev,recall,0.09213250517598344,0.06758832565284179,0.09782608695652174,0.05555555555555555,0.171875,0.12903225806451613,0.08,0.05555555555555555,0.10714285714285714,0.14814814814814814,0.09033268101761252,0.09961889348573799,0.09033268101761252
dev,f1-score,0.0836466165413534,0.04853833425261996,0.026785714285714284,0.004938271604938272,0.017944535073409464,0.006717044500419814,0.0033698399326032016,0.00333889816360601,0.00505050505050505,0.00672834314550042,0.09033268101761252,0.03374140752007568,0.14691188836615818
dev,support,966.0,651.0,184.0,54.0,64.0,31.0,25.0,36.0,28.0,27.0,0.09033268101761252,12775.0,12775.0
test,precision,0.06896551724137931,0.05018587360594796,0.013927576601671309,0.004646840148698885,0.0,0.002785515320334262,0.0027881040892193307,0.002785515320334262,0.0009285051067780873,0.004646840148698885,0.08871240283879689,0.0887978696957118,0.6948458847787692
test,recall,0.07652533609100311,0.09375,0.0684931506849315,0.1388888888888889,0.0,0.15,0.13636363636363635,0.09090909090909091,0.08333333333333333,0.09615384615384616,0.08871240283879689,0.09313595262088424,0.08871240283879689
test,f1-score,0.07254901960784313,0.06537530266343826,0.023148148148148147,0.008992805755395685,0.0,0.005469462169553327,0.005464480874316939,0.005405405405405405,0.0018365472910927458,0.008865248226950355,0.08871240283879689,0.03268462586599605,0.14476926159262116
test,support,967.0,576.0,219.0,36.0,52.0,20.0,22.0,33.0,12.0,52.0,0.08871240283879689,11836.0,11836.0
