split,index,E-ADR,I-ADR,B-ADR,S-Drug,S-ADR,B-Finding,E-Finding,I-Finding,B-Disease,E-Disease,E-Symptom,S-Disease,E-Drug,S-Symptom,B-Drug,B-Symptom,S-Finding,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.5239256324291375,0.3143888137122237,0.5111246571167327,0.953757225433526,0.5427631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.518620962165366,0.24229797432931782,0.453801905120482,0.05539727761949984
train,recall,0.4903023388476897,0.1566644189705552,0.5007464914899971,0.7698289269051322,0.1210564930300807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.333926981300089,0.10283492936716865,0.333926981300089,0.055360346101086845
train,f1-score,0.5065566524237513,0.20912091209120914,0.5058823529411766,0.8519793459552495,0.19796040791841632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01785714285714286,0.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.4062681369704005,0.11536874161024817,0.367001409554881,0.0553726566072245
train,support,3506.0,4449.0,3349.0,1286.0,1363.0,200.0,200.0,149.0,119.0,119.0,114.0,112.0,111.0,112.0,110.0,110.0,109.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.5056433408577878,0.25227963525835867,0.4853273137697517,0.9194630872483222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48345323741007196,0.13313566885671102,0.4004206439829009,
dev,recall,0.49888641425389757,0.16054158607350097,0.48642533936651583,0.8353658536585366,0.06220095693779904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32526621490803487,0.10217100751451251,0.32526621490803487,
dev,f1-score,0.5022421524663677,0.19621749408983452,0.4858757062146893,0.8753993610223643,0.11063829787234042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888895,0.10851865058327981,0.342883413606836,
dev,support,449.0,517.0,442.0,164.0,209.0,39.0,34.0,20.0,15.0,15.0,13.0,16.0,20.0,13.0,20.0,12.0,25.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.5360576923076923,0.2555205047318612,0.5360576923076923,0.94,0.7096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518796992481203,0.14886566543510424,0.4463383170572685,0.05830657427750549
test,recall,0.504524886877828,0.15428571428571428,0.5334928229665071,0.734375,0.13924050632911392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469079939668175,0.10329594652295818,0.3469079939668175,0.058264323136724694
test,f1-score,0.5198135198135198,0.19239904988123516,0.5347721822541966,0.8245614035087719,0.2328042328042328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41578788791804766,0.11521751941309781,0.3767726030086633,0.058278406850318286
test,support,442.0,525.0,418.0,192.0,158.0,24.0,27.0,9.0,8.0,9.0,13.0,12.0,27.0,9.0,27.0,13.0,28.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
