split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,I-Finding,B-Disease,E-Disease,E-Symptom,S-Disease,S-Symptom,E-Drug,B-Symptom,B-Drug,S-Finding,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.7847835224884405,0.7851321313904668,0.7928513403736799,0.556608242539081,0.8214519293655984,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599851383986624,0.1925969138634189,0.6829093449360547,0.12950300728078507
train,recall,0.8392897280287706,0.9067313177410155,0.8742908330845028,0.8620689655172413,0.9766718506998445,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7806258745706653,0.22320263475356872,0.7806258745706653,0.12946607576237207
train,f1-score,0.811121972412295,0.841561879549967,0.8315819369497303,0.6764536557282671,0.8923623445825932,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7701672366728375,0.20313255836066416,0.7260948794872192,0.12947838626850972
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,149.0,119.0,119.0,114.0,112.0,112.0,111.0,110.0,110.0,109.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.5807622504537205,0.6928982725527831,0.7189409368635438,0.49709302325581395,0.7783251231527094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6459715639810426,0.16340098031392852,0.5617981916805271,
dev,recall,0.6189555125725339,0.8040089086859689,0.7986425339366516,0.8181818181818182,0.9634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597289448209099,0.20016017037616568,0.6597289448209099,
dev,f1-score,0.599250936329588,0.7443298969072165,0.7566988210075027,0.6184448462929476,0.8610354223433242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6527777777777778,0.17898799614402897,0.6045220323420062,
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,15.0,15.0,13.0,16.0,13.0,20.0,12.0,20.0,25.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.6454720616570327,0.726,0.7369565217391304,0.7071823204419889,0.7673469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710236220472441,0.1791478921306831,0.6168316125347566,0.11433158695284773
test,recall,0.638095238095238,0.8212669683257918,0.8110047846889952,0.810126582278481,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6802413273001509,0.20298301200275862,0.6802413273001509,0.11424708467128612
test,f1-score,0.6417624521072797,0.7707006369426751,0.7722095671981777,0.7551622418879056,0.8604118993135011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949152542372881,0.19001233987247695,0.6459895861539988,0.11427525209847332
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,9.0,8.0,9.0,13.0,12.0,9.0,27.0,13.0,27.0,28.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
