split,index,I-ADR,E-ADR,B-ADR,S-ADR,S-Drug,B-Finding,E-Finding,I-Finding,E-Drug,B-Disease,E-Disease,E-Symptom,S-Disease,S-Symptom,B-Symptom,B-Drug,S-Finding,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.8731569379923247,0.8716233599176743,0.8561917443408789,0.7369327972429638,0.7270642201834863,0.391304347826087,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363918164910106,0.24204443960593996,0.7570665821831344,0.14235517568850903
train,recall,0.9716790289952798,0.966343411294923,0.95998805613616,0.9413059427732942,0.9860031104199067,0.045,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858096934232286,0.24476597748097814,0.858096934232286,0.14231824417009603
train,f1-score,0.9197872340425532,0.916542675503855,0.9051238738738738,0.8266752577319588,0.8369636963696371,0.08071748878923767,0.046948356807511735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8471053623006405,0.22663792915593137,0.7992252090773948,0.14233055467623365
train,support,4449.0,3506.0,3349.0,1363.0,1286.0,200.0,200.0,149.0,111.0,119.0,119.0,114.0,112.0,112.0,110.0,110.0,109.0,104.0,50.0,50.0,15722.0,15722.0,15722.0,15722.0
dev,precision,0.5801886792452831,0.7306930693069307,0.7390438247011952,0.6785714285714286,0.6544715447154471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717948717948717,0.16914842732701424,0.5826964509735302,
dev,recall,0.7137330754352031,0.821826280623608,0.8393665158371041,0.8181818181818182,0.9817073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974830590513069,0.2087407503575452,0.6974830590513069,
dev,f1-score,0.6400693842150912,0.7735849056603773,0.7860169491525425,0.7418655097613883,0.7853658536585365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6843980052244122,0.18634513012239678,0.6338455359856077,
dev,support,517.0,449.0,442.0,209.0,164.0,39.0,34.0,20.0,20.0,15.0,15.0,13.0,16.0,13.0,12.0,20.0,25.0,23.0,7.0,13.0,2066.0,2066.0,2066.0,
test,precision,0.6293375394321766,0.7751605995717344,0.7601713062098501,0.6318407960199005,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996086105675147,0.17382551206168312,0.6139596002913329,0.1208382626330911
test,recall,0.76,0.8190045248868778,0.8492822966507177,0.8037974683544303,0.9739583333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189542483660131,0.21030213116126797,0.7189542483660131,0.12075376035152949
test,f1-score,0.6885245901639344,0.7964796479647964,0.8022598870056497,0.7075208913649025,0.8008565310492506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709149516488966,0.18978207737742667,0.660843037607832,0.12078192777871669
test,support,525.0,442.0,418.0,158.0,192.0,24.0,27.0,9.0,27.0,8.0,9.0,13.0,12.0,9.0,13.0,27.0,28.0,20.0,25.0,3.0,1989.0,1989.0,1989.0,1989.0
