EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:38:21	0	0.1000	2.739701310162103	1.1839491128921509	0.1475	0.2994	0.1976	0.6395	1.2869369983673096	0.1334	0.289	0.1826	0.6254
2	01:39:09	1	0.1000	2.010656000217632	1.327735424041748	0.2242	0.4251	0.2936	0.7094	1.4661825895309448	0.2149	0.4279	0.2861	0.7045
3	01:39:54	2	0.1000	2.5530985172984595	1.302884578704834	0.3567	0.3514	0.354	0.8251	1.5197504758834839	0.2998	0.3258	0.3122	0.8068
4	01:40:40	1	0.0500	1.8484947520971826	2.172248363494873	0.6382	0.0123	0.0242	0.8361	2.1987593173980713	0.6757	0.0121	0.0238	0.8401
5	01:41:25	0	0.0500	1.3337186824021314	0.7297723293304443	0.4282	0.4006	0.4139	0.845	0.8200908303260803	0.4213	0.4158	0.4185	0.8439
6	01:42:13	1	0.0500	1.2409292316265697	0.7725613117218018	0.375	0.4419	0.4057	0.8307	0.8842422962188721	0.3363	0.4177	0.3726	0.8188
7	01:42:59	0	0.0500	1.12998583742218	0.5955280661582947	0.7119	0.238	0.3568	0.8667	0.6364221572875977	0.6801	0.2459	0.3612	0.8679
8	01:43:46	1	0.0500	1.1078384262556715	0.8871518969535828	0.7515	0.2261	0.3476	0.8678	0.9209219217300415	0.7508	0.2217	0.3423	0.8694
9	01:44:32	2	0.0500	1.2259638466814393	0.7888273596763611	0.6404	0.3584	0.4596	0.8797	0.8150348663330078	0.6162	0.3785	0.469	0.8799
10	01:45:18	0	0.0250	0.8399961955589849	0.4033581614494324	0.5248	0.4223	0.468	0.8671	0.4373556971549988	0.5108	0.4337	0.4691	0.8672
11	01:46:05	1	0.0250	0.7005324774783687	0.7538142204284668	0.8691	0.1496	0.2552	0.8581	0.7801929712295532	0.8834	0.1651	0.2781	0.8639
12	01:46:51	0	0.0250	0.6400722637701804	0.34727904200553894	0.5425	0.4457	0.4894	0.8727	0.3659929931163788	0.5264	0.4632	0.4928	0.871
13	01:47:40	1	0.0250	0.5868057410375118	0.42664870619773865	0.7566	0.244	0.3689	0.8696	0.44500139355659485	0.7634	0.2546	0.3819	0.8732
14	01:48:26	2	0.0250	0.585252700617284	0.40511006116867065	0.7244	0.2358	0.3557	0.8667	0.42538926005363464	0.7198	0.2362	0.3557	0.8679
15	01:49:12	0	0.0125	0.4654122315870001	0.303382009267807	0.6711	0.3213	0.4346	0.8753	0.32187744975090027	0.6577	0.3311	0.4404	0.8749
16	01:49:59	0	0.0125	0.42070605149308854	0.2967628538608551	0.5978	0.4181	0.4921	0.8784	0.32144951820373535	0.5736	0.4206	0.4853	0.8749
17	01:50:48	1	0.0125	0.41360726545188353	0.38044536113739014	0.7915	0.1968	0.3152	0.8646	0.3848266303539276	0.817	0.2096	0.3336	0.8701
18	01:51:34	2	0.0125	0.3942210005144033	0.30326125025749207	0.5358	0.3858	0.4486	0.867	0.3335133492946625	0.4937	0.3804	0.4297	0.8611
19	01:52:18	0	0.0063	0.38104720639442863	0.27803313732147217	0.7396	0.2786	0.4047	0.8744	0.2901894450187683	0.7287	0.2938	0.4188	0.8769
20	01:53:07	0	0.0063	0.3514646273543843	0.25665968656539917	0.6241	0.3695	0.4642	0.877	0.2712114751338959	0.5949	0.3761	0.4609	0.8752
21	01:53:55	1	0.0063	0.3343741344175372	0.29930663108825684	0.7984	0.2099	0.3324	0.8663	0.30967938899993896	0.7948	0.2231	0.3485	0.871
22	01:54:40	0	0.0063	0.3259208148675741	0.2482633888721466	0.6915	0.3138	0.4317	0.8759	0.254716694355011	0.6922	0.3103	0.4285	0.8766
23	01:55:28	1	0.0063	0.3285472599781049	0.29195302724838257	0.7912	0.207	0.3281	0.8663	0.2994491457939148	0.8062	0.2256	0.3525	0.8721
24	01:56:13	2	0.0063	0.3310380147330379	0.2774003744125366	0.7681	0.2535	0.3812	0.8718	0.2845729887485504	0.7657	0.272	0.4014	0.8757
25	01:56:59	1	0.0031	0.3214863946924132	0.25418519973754883	0.7464	0.2902	0.4179	0.8759	0.26355767250061035	0.7338	0.3015	0.4274	0.8781
