split,index,I-ADR,B-ADR,B-Drug,I-Finding,B-Finding,B-Disease,B-Symptom,I-Symptom,I-Disease,I-Drug,micro avg,macro avg,weighted avg,samples avg
train,precision,0.5696780394041326,0.5924287118977385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772147813458125,0.2162106751301871,0.554591191974759,0.03774401181808589
train,recall,0.29812649314724005,0.2557300509337861,0.0007163323782234957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22754452926208651,0.05545728764592497,0.22754452926208651,0.037738735886884034
train,f1-score,0.39141560049525387,0.35724873999407053,0.0014316392269148174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32641328648993934,0.07500959797162392,0.30523428129463026,0.03774049453061799
train,support,7953.0,4712.0,1396.0,349.0,309.0,231.0,222.0,218.0,169.0,161.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.53,0.5993031358885017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552423900789177,0.11293031358885017,0.4366536018699974,
dev,recall,0.32919254658385094,0.2642089093701997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2371732817037754,0.059340145595405056,0.2371732817037754,
dev,f1-score,0.4061302681992337,0.3667377398720682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3318658990856756,0.0772868008071302,0.30545406957268934,
dev,support,966.0,651.0,184.0,54.0,64.0,31.0,25.0,36.0,28.0,27.0,2066.0,2066.0,2066.0,
test,precision,0.6,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243243243243243,0.1275,0.48717948717948717,0.0390400540814602
test,recall,0.31023784901758017,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23227752639517346,0.05914878490175801,0.23227752639517346,0.0389978029406794
test,f1-score,0.4089979550102249,0.39705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33858556247709787,0.08060567785396366,0.31382951475506715,0.03901188665427299
test,support,967.0,576.0,219.0,36.0,52.0,20.0,22.0,33.0,12.0,52.0,1989.0,1989.0,1989.0,1989.0
