split,index,I-ADR,B-ADR,B-Drug,B-Finding,I-Finding,B-Disease,B-Symptom,I-Drug,I-Disease,I-Symptom,micro avg,macro avg,weighted avg,samples avg
train,precision,0.7749015194147439,0.8002157497303128,0.9900142653352354,0.8404255319148937,0.837037037037037,0.9612903225806452,0.8795180722891566,0.9851851851851852,0.9813084112149533,1.0,0.8131616595135909,0.9049896094702164,0.815970276030838,0.11995357180542365
train,recall,0.6925688419464353,0.7871392190152802,0.994269340974212,0.511326860841424,0.3237822349570201,0.645021645021645,0.32882882882882886,0.8260869565217391,0.621301775147929,0.14678899082568808,0.7231552162849872,0.5877114694080201,0.7231552162849872,0.11991664028701066
train,f1-score,0.7314255361529779,0.7936236225526907,0.9921372408863474,0.6358148893360162,0.46694214876033063,0.7720207253886011,0.4786885245901639,0.8986486486486487,0.7608695652173911,0.256,0.7655218855218855,0.6786170901533168,0.75793371669659,0.11992895079314832
train,support,7953.0,4712.0,1396.0,309.0,349.0,231.0,222.0,161.0,169.0,218.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.667027027027027,0.7322239031770046,0.9560439560439561,0.4444444444444444,0.6363636363636364,0.5,0.3333333333333333,0.6363636363636364,0.38461538461538464,0.0,0.7114347357065803,0.5290415321368422,0.6832189835822309,
dev,recall,0.6387163561076604,0.7434715821812596,0.9456521739130435,0.125,0.12962962962962962,0.25806451612903225,0.08,0.5185185185185185,0.17857142857142858,0.0,0.638431752178122,0.36176242050505725,0.638431752178122,
dev,f1-score,0.6525647805393971,0.7378048780487805,0.9508196721311475,0.1951219512195122,0.21538461538461537,0.3404255319148936,0.12903225806451613,0.5714285714285714,0.24390243902439027,0.0,0.6729591836734693,0.40364846977558244,0.6514011544307802,
dev,support,966.0,651.0,184.0,64.0,54.0,31.0,25.0,27.0,28.0,36.0,2066.0,2066.0,2066.0,
test,precision,0.730958230958231,0.7392055267702936,0.9414414414414415,0.47619047619047616,0.4,0.46153846153846156,1.0,0.8148148148148148,0.5,0.0,0.755621301775148,0.6064148951713719,0.7328093075892501,0.10790941355416596
test,recall,0.6153050672182007,0.7430555555555556,0.954337899543379,0.19230769230769232,0.1111111111111111,0.3,0.09090909090909091,0.4230769230769231,0.08333333333333333,0.0,0.6420311714429362,0.35134366730552863,0.6420311714429362,0.10782491127260437
test,f1-score,0.6681639528354858,0.7411255411255412,0.9478458049886621,0.273972602739726,0.1739130434782609,0.3636363636363637,0.16666666666666669,0.5569620253164557,0.14285714285714285,0.0,0.6942103832563197,0.4035143143644304,0.6750649749877133,0.10785307869979155
test,support,967.0,576.0,219.0,52.0,36.0,20.0,22.0,52.0,12.0,33.0,1989.0,1989.0,1989.0,1989.0
