split,index,I-ADR,B-ADR,B-Drug,B-Finding,I-Finding,B-Disease,B-Symptom,I-Symptom,I-Disease,I-Drug,micro avg,macro avg,weighted avg,samples avg
train,precision,0.8905908096280087,0.8666537642732727,0.8055067369654364,0.358974358974359,0.38926174496644295,0.2765957446808511,0.0,0.0,0.46153846153846156,0.0,0.8579711952116715,0.4049121621026832,0.8065965454178503,0.14520417853751186
train,recall,0.9723374827109267,0.950339558573854,0.9849570200573066,0.31715210355987056,0.166189111747851,0.05627705627705628,0.0,0.0,0.03550295857988166,0.0,0.875381679389313,0.34827552915067467,0.875381679389313,0.14516724701909886
train,f1-score,0.9296705938927627,0.9065694908391537,0.8862391234289396,0.3367697594501718,0.23293172690763053,0.09352517985611512,0.0,0.0,0.06593406593406594,0.0,0.8665889983941559,0.345163994030884,0.8346512526985064,0.14517955752523654
train,support,7953.0,4712.0,1396.0,309.0,349.0,231.0,222.0,218.0,169.0,161.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.6993524514338575,0.7759103641456583,0.7901785714285714,0.24324324324324326,0.19047619047619047,0.0,0.0,0.0,0.5,0.0,0.7200383509108341,0.3199160820727521,0.6611511394676034,
dev,recall,0.782608695652174,0.8509984639016898,0.9619565217391305,0.140625,0.07407407407407407,0.0,0.0,0.0,0.07142857142857142,0.0,0.7270087124878993,0.28816913267956396,0.7270087124878993,
dev,f1-score,0.7386419149975574,0.8117216117216118,0.8676470588235293,0.17821782178217824,0.10666666666666667,0.0,0.0,0.0,0.125,0.0,0.7235067437379578,0.2827895073991543,0.6884181309467563,
dev,support,966.0,651.0,184.0,64.0,54.0,31.0,25.0,36.0,28.0,27.0,2066.0,2066.0,2066.0,
test,precision,0.7589199614271939,0.7814992025518341,0.7794117647058824,0.4166666666666667,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.7617840851495185,0.31001339589879406,0.6985761164394755,0.12700692918708806
test,recall,0.8138572905894519,0.8506944444444444,0.9680365296803652,0.19230769230769232,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.755656108597285,0.2936007068133065,0.755656108597285,0.12692242690552644
test,f1-score,0.785429141716567,0.8146300914380715,0.8635437881873727,0.2631578947368421,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.7587077233720343,0.28969736820363,0.722807879548551,0.12695059433271363
test,support,967.0,576.0,219.0,52.0,36.0,20.0,22.0,33.0,12.0,52.0,1989.0,1989.0,1989.0,1989.0
