split,index,I-ADR,B-ADR,B-Drug,B-Finding,I-Finding,B-Disease,B-Symptom,I-Symptom,I-Drug,I-Disease,micro avg,macro avg,weighted avg,samples avg
train,precision,0.8135515095644158,0.8248104219327241,0.9654929577464789,0.4109090909090909,0.5,0.5714285714285714,0.7272727272727273,0.0,0.9772727272727273,0.0,0.8228308753112431,0.5790738006126737,0.7924158012953718,0.13599240265906934
train,recall,0.8877153275493525,0.9002546689303905,0.9820916905444126,0.3656957928802589,0.03151862464183381,0.17316017316017315,0.036036036036036036,0.0,0.2670807453416149,0.0,0.8198473282442749,0.3643553059084073,0.8198473282442749,0.13595547114065631
train,f1-score,0.8490168961577778,0.860882800608828,0.9737215909090908,0.38698630136986295,0.059299191374663066,0.26578073089700993,0.06866952789699571,0.0,0.41951219512195126,0.0,0.8213363923143103,0.38838692343361797,0.792142627536814,0.13596778164679396
train,support,7953.0,4712.0,1396.0,309.0,349.0,231.0,222.0,218.0,161.0,169.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.7096483318304779,0.7534059945504087,0.9675675675675676,0.375,1.0,0.5,1.0,0.0,0.0,0.0,0.7428847081524361,0.5305621893948455,0.7127396047594337,
dev,recall,0.8146997929606625,0.8494623655913979,0.9728260869565217,0.1875,0.05555555555555555,0.12903225806451613,0.08,0.0,0.0,0.0,0.7454017424975798,0.30890760591286537,0.7454017424975798,
dev,f1-score,0.7585542168674699,0.7985559566787004,0.9701897018970189,0.25,0.10526315789473684,0.20512820512820512,0.14814814814814814,0.0,0.0,0.0,0.7441410968833051,0.323583938661428,0.708076038252592,
dev,support,966.0,651.0,184.0,64.0,54.0,31.0,25.0,36.0,27.0,28.0,2066.0,2066.0,2066.0,
test,precision,0.7739656912209889,0.7913322632423756,0.9217391304347826,0.39285714285714285,0.0,0.42857142857142855,0.0,0.0,1.0,0.0,0.7905620360551432,0.4308465656326718,0.7476586609369141,0.12599290180834882
test,recall,0.7931747673216132,0.8559027777777778,0.9680365296803652,0.21153846153846154,0.0,0.15,0.0,0.0,0.09615384615384616,0.0,0.7496229260935143,0.3074806382472064,0.7496229260935143,0.12590839952678723
test,f1-score,0.7834525025536261,0.8223519599666389,0.9443207126948775,0.275,0.0,0.2222222222222222,0.0,0.0,0.17543859649122806,0.0,0.7695483870967741,0.3222785993928593,0.7370270419569165,0.1259365669539744
test,support,967.0,576.0,219.0,52.0,36.0,20.0,22.0,33.0,52.0,12.0,1989.0,1989.0,1989.0,1989.0
